base_bandwidth_utilization	0.19856240000000006
expected_bandwidth_utilization	0.19856246111852166

rounded_expected_bandwidth_utilization	0.39712479999999994

bandwidth_utilization_p99	0.19856239999999997

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	6	10	10	0.039600000000000003	3.2080001911968086e-07	1.0000003208000192	1	2	0	1	0.32080001911968109	0	0.32079999999999997
1	7	10	10	0.039600000000000003	3.6040002147984135e-07	1.0000003604000214	1	2	0	1	0.36040002147984129	0	0.3604
2	8	10	10	0.039600000000000003	4.0000002384000142e-07	1.0000004000000238	1	2	0	1	0.4000000238400015	0	0.40000000000000002
4	9	10	10	0.039600000000000003	4.3960002620016165e-07	1.0000004396000262	1	2	0	1	0.43960002620016164	0	0.43960000000000005
5	24	100	100	0.039600000000000003	1.1188000711556842e-06	1.0000011188000713	1	2	0	1	1.1188000711556845	0	1.1187999999999998
6	19	20	20	0.039600000000000003	8.4160005184256198e-07	1.0000008416000519	1	2	0	1	0.84160005184256304	0	0.8415999999999999
7	25	100	100	0.039600000000000003	1.1584000736742439e-06	1.0000011584000736	1	2	0	1	1.1584000736742444	0	1.1583999999999997
8	26	100	100	0.039600000000000003	1.1980000761928032e-06	1.0000011980000763	1	2	0	1	1.1980000761928042	0	1.1979999999999995
9	0	1	1	0.039600000000000003	8.3200004958720387e-08	1.0000000832000049	1	2	0	1	0.083200004958720306	0	0.083199999999999996
10	4	5	5	0.039600000000000003	2.4160001439936078e-07	1.0000002416000144	1	2	0	1	0.24160001439936088	0	0.24160000000000001
12	20	20	20	0.039600000000000003	8.8120005428192265e-07	1.0000008812000543	1	2	0	1	0.88120005428192316	0	0.88119999999999976
13	22	50	50	0.039600000000000003	9.6040006108148463e-07	1.000000960400061	1	2	0	1	0.96040006108148501	0	0.96039999999999981
14	27	100	100	0.039600000000000003	1.2376000787113642e-06	1.0000012376000786	1	2	0	1	1.2376000787113643	0	1.2375999999999996
15	10	10	10	0.041599999999999998	4.8120002964192142e-07	1.0000004812000296	1	2	0	1	0.48120002964192193	0	0.48120000000000007
16	28	100	100	0.039600000000000003	1.2772000812299246e-06	1.0000012772000813	1	2	0	1	1.2772000812299247	0	1.2771999999999997
17	11	10	10	0.039600000000000003	5.2080003208128198e-07	1.000000520800032	1	2	0	1	0.52080003208128212	0	0.52080000000000015
19	34	1000	1000	0.039600000000000003	1.5148000963412867e-06	1.0000015148000962	1	2	0	1	1.5148000963412864	0	1.5148000000000001
20	12	10	10	0.039600000000000003	5.6040003452064212e-07	1.0000005604000346	1	2	0	1	0.56040003452064224	0	0.56040000000000012
22	5	5	5	0.039600000000000003	2.8120001675952111e-07	1.0000002812000168	1	2	0	1	0.281200016759521	0	0.28120000000000001
23	29	100	100	0.039600000000000003	1.3168000844146189e-06	1.0000013168000843	1	2	0	1	1.3168000837484959	1.1102230246251565e-16	1.3167999999999995
24	1	1	1	0.039600000000000003	1.2280000731888047e-07	1.0000001228000073	1	2	0	1	0.12280000731888042	0	0.12279999999999999
25	30	100	100	0.039600000000000003	1.3564000869331806e-06	1.0000013564000869	1	2	0	1	1.3564000862670564	1.1102230246251565e-16	1.3563999999999998
26	13	10	10	0.039600000000000003	6.0000003696000194e-07	1.000000600000037	1	2	0	1	0.60000003696000237	0	0.60000000000000009
27	14	10	10	0.041599999999999998	6.4160003952256296e-07	1.0000006416000395	1	2	0	1	0.64160003952256262	0	0.64160000000000017
28	35	1000	1000	0.039600000000000003	1.554400098859848e-06	1.0000015544000989	1	2	0	1	1.5544000988598465	0	1.5544000000000002
29	2	2	2	0.039600000000000003	1.6240000967904059e-07	1.0000001624000097	1	2	0	1	0.16240000967904059	0	0.16239999999999999
30	31	100	100	0.039600000000000003	1.3960000887856031e-06	1.0000013960000889	1	2	0	1	1.3960000887856052	0	1.3959999999999997
32	32	100	100	0.039600000000000003	1.4356000913041647e-06	1.0000014356000912	1	2	0	1	1.4356000913041658	0	1.4356
33	36	1000	1000	0.039600000000000003	1.5940001013784083e-06	1.0000015940001015	1	2	0	1	1.5940001013784069	0	1.5940000000000003
34	21	20	20	0.0436	9.2080005922905575e-07	1.0000009208000593	1	2	0	1	0.92080005856292391	1.1102230246251565e-16	0.92079999999999984
35	23	50	50	0.039600000000000003	1.0000001427999704e-06	1.0000010000001427	1	2	0	1	1.0000001427999694	0	0.99999999999999989
37	37	1000	1000	0.039600000000000003	1.5940001013784083e-06	1.0000015940001015	1	2	0	1	1.5940001013784071	0	1.5940000000000005
39	3	2	2	0.039600000000000003	2.0200001203920098e-07	1.0000002020000121	1	2	0	1	0.20200001203920073	0	0.20200000000000001
40	15	10	10	0.039600000000000003	6.8120004196192278e-07	1.0000006812000419	1	2	0	1	0.68120004196192263	0	0.68120000000000003
43	16	10	10	0.039600000000000003	7.2080004440128366e-07	1.0000007208000443	1	2	0	1	0.72080004440128287	0	0.72080000000000011
44	17	10	10	0.041599999999999998	7.624000469638433e-07	1.0000007624000469	1	2	0	1	0.76240004696384289	0	0.76239999999999997
47	33	100	100	0.039600000000000003	1.4752000938227243e-06	1.0000014752000939	1	2	0	1	1.4752000938227257	0	1.4751999999999998
48	18	10	10	0.039600000000000003	8.0200004940320428e-07	1.0000008020000495	1	2	0	1	0.80200004940320291	0	0.80199999999999982

[frame_retry_distribution]
frame_id	retry_count	probability
0	0	0.99999967920005151
0	1	3.2079987796770295e-07
0	2	7.0575968946566842e-14
0	3	1.3345281887362171e-20
0	4	2.3373533032812638e-27
0	5	3.919711543746502e-34
1	0	0.99999963960006499
1	1	3.6039984863203185e-07
1	2	8.6423878551097896e-14
1	3	1.7463571426306451e-20
1	4	3.2241753666144183e-27
1	5	5.6436826293721046e-34
2	0	0.99999960000008015
2	1	3.9999981616004222e-07
2	2	1.0383994608628591e-13
2	3	2.2333949739772804e-20
2	4	4.336377750055553e-27
2	5	7.9122532266493485e-34
4	0	0.99999956040009674
4	1	4.3959978055173486e-07
4	2	1.2282417136583379e-13
4	3	2.8018515836011147e-20
4	4	5.7086738203178373e-27
4	5	1.084325812586805e-33
5	0	0.99999888120062597
5	1	1.1187986771316617e-06
5	2	6.9701153152309012e-13
5	3	3.1979964062478269e-19
5	4	1.2070965366793778e-25
5	5	3.9733418859635092e-32
6	0	0.99999915840035414
6	1	8.4159923986722209e-07
6	2	4.0598744830312113e-13
6	3	1.4777035525109596e-19
6	4	4.5162779704105905e-26
6	5	1.5826186295547691e-32
7	0	0.99999884160067098
7	1	1.1583985844360642e-06
7	2	7.4461856271776084e-13
7	3	3.5144662539056051e-19
7	4	1.3610959830489363e-25
7	5	4.5866212583653524e-32
8	0	0.99999880200071767
8	1	1.1979984886041518e-06
8	2	7.9379374806382751e-13
8	3	3.8510963134603835e-19
8	4	1.5293386569740635e-25
8	5	5.2731702355963145e-32
9	0	0.99999991680000355
9	1	8.3199988119040938e-08
9	2	8.4198382958245477e-15
9	3	9.5186321727846881e-22
9	4	1.153081661296875e-28
9	5	1.4640419460841994e-35
10	0	0.99999975840002919
10	1	2.4159992723009088e-07
10	2	4.3584624274664753e-14
10	3	7.1165730508587331e-21
10	4	1.1132922656195843e-27
10	5	1.706881040344557e-34
12	0	0.99999911880038828
12	1	8.8119916920503087e-07
12	2	4.4253819551441363e-13
12	3	1.6689262674112138e-19
12	4	6.5859355032004569e-26
12	5	2.019315437721751e-32
13	0	0.99999903960046121
13	1	9.60399016550903e-07
13	2	5.2226491062094599e-13
13	3	2.5349329844831997e-19
13	4	9.2808286373981387e-26
13	5	2.9294659204722667e-32
14	0	0.99999876240076579
14	1	1.2375983896359269e-06
14	2	8.4453708737499696e-13
14	3	4.2085075729901529e-19
14	4	1.7126746926661151e-25
14	5	6.0393498941639767e-32
15	0	0.99999951880011584
15	1	4.8119973880471047e-07
15	2	1.4541855210900044e-13
15	3	3.5573167508262557e-20
15	4	7.7231084282130596e-27
15	5	1.5555801242081493e-33
16	0	0.9999987228008157
16	1	1.2771982875313875e-06
16	2	8.968485804649695e-13
16	3	4.5873210204744584e-19
16	4	1.9119788154219507e-25
16	5	6.8918784725414323e-32
17	0	0.99999947920013565
17	1	5.2079969668616838e-07
17	2	1.6769749200278068e-13
17	3	4.3215203555341812e-20
17	4	9.7990772894666688e-27
17	5	2.0478040134127956e-33
19	0	0.99999848520114731
19	1	1.5147976090415675e-06
19	2	1.2436487579270676e-12
19	3	7.3444229668881703e-19
19	4	3.4952164724711854e-25
19	5	1.4244055010439248e-31
20	0	0.99999943960015714
20	1	5.603996514313084e-07
20	2	1.9154458906007433e-13
20	3	5.1867133284598033e-20
20	4	1.2262646338080166e-26
20	5	2.6558027396577734e-33
22	0	0.99999971880003957
22	1	2.8119990416705642e-07
22	2	5.6296217458990138e-14
22	3	9.9169821048538745e-21
22	4	1.6436573123522427e-27
22	5	2.6372304004255293e-34
23	0	0.99999868320086693
23	1	1.3167981822905344e-06
23	2	9.5072822714745004e-13
23	3	4.9881576437945366e-19
23	4	2.1281503416191178e-25
23	5	7.8378411092228262e-32
23	6	1.1102230246251565e-16
24	0	0.9999998772000076
24	1	1.2279997760128207e-07
24	2	1.4858796404170823e-14
24	3	1.8616998331779088e-21
24	4	2.4111831118964983e-28
24	5	3.2086319279020233e-35
25	0	0.99999864360091983
25	1	1.3563980739133687e-06
25	2	1.0061760272361414e-12
25	3	5.4116384307332156e-19
25	4	2.3621131787109237e-25
25	5	8.8846995807763468e-32
25	6	1.1102230246251565e-16
26	0	0.99999940000018006
26	1	5.9999960304013095e-07
26	2	2.1695984309458468e-13
26	3	6.1591055663320695e-20
26	4	1.5158862203133623e-26
26	5	3.3987017683224796e-33
27	0	0.99999935840020582
27	1	6.4159954882703913e-07
27	2	2.4534765235804425e-13
27	3	7.3028665238419533e-20
27	4	1.8719387101976906e-26
27	5	4.3475599108093074e-33
28	0	0.9999984456012081
28	1	1.5543974849828363e-06
28	2	1.3069373222523535e-12
28	3	7.8904393852198656e-19
28	4	3.8328551631480236e-25
28	5	1.5921183300885747e-31
29	0	0.99999983760001321
29	1	1.6239996394720401e-07
29	2	2.2865913560957818e-14
29	3	3.1510309675347108e-21
29	4	4.3567009231459088e-28
29	5	6.0805921947590089e-35
30	0	0.9999986040009744
30	1	1.3959979623998843e-06
30	2	1.0631919805447419e-12
30	3	5.858384368974969e-19
30	4	2.6148158252216197e-25
30	5	1.0040302039894744e-31
32	0	0.99999856440103052
32	1	1.4355978477500923e-06
32	2	1.1217760868869635e-12
32	3	6.3290164461059301e-19
32	4	2.8872313707415163e-25
32	5	1.131289275344414e-31
33	0	0.99999840600127043
33	1	1.5939973577877918e-06
33	2	1.3717940388660711e-12
33	3	8.4628258918015454e-19
33	4	4.1943450217584063e-25
33	5	1.7752432815845233e-31
34	0	0.99999907920042386
34	1	9.2079909356492611e-07
