base_bandwidth_utilization	0.21243519999999994
expected_bandwidth_utilization	0.21243527921002597

rounded_expected_bandwidth_utilization	0.42487040000000015

bandwidth_utilization_p99	0.21243520000000007

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	6	10	10	0.039600000000000003	3.188000190004811e-07	1.0000003188000191	1	2	0	1	0.31880001900048111	0	0.31879999999999997
1	32	100	100	0.039600000000000003	1.427600087940165e-06	1.0000014276000879	1	2	0	1	1.4276000879401654	0	1.4276
2	4	5	5	0.039600000000000003	2.3960001428016065e-07	1.0000002396000143	1	2	0	1	0.23960001428016087	0	0.23960000000000001
3	33	100	100	0.039600000000000003	1.4672000903795267e-06	1.0000014672000903	1	2	0	1	1.4672000903795257	0	1.4672000000000001
6	18	20	20	0.041599999999999998	7.940000489104033e-07	1.0000007940000488	1	2	0	1	0.79400004891040299	0	0.79400000000000004
7	34	100	100	0.039600000000000003	1.5068000928188865e-06	1.0000015068000929	1	2	0	1	1.5068000928188858	0	1.5068000000000001
8	7	10	10	0.039600000000000003	3.5840002136064138e-07	1.0000003584000214	1	2	0	1	0.35840002136064125	0	0.3584
9	35	100	100	0.039600000000000003	1.5464000952582438e-06	1.0000015464000953	1	2	0	1	1.546400095258246	0	1.5464000000000002
10	19	20	20	0.039600000000000003	8.336000513497628e-07	1.0000008336000514	1	2	0	1	0.83360005134976323	0	0.83360000000000001
11	8	10	10	0.039600000000000003	3.9800002372080187e-07	1.0000003980000238	1	2	0	1	0.39800002372080145	0	0.39800000000000002
12	9	10	10	0.039600000000000003	4.3760002608096215e-07	1.000000437600026	1	2	0	1	0.4376000260809616	0	0.43760000000000004
14	20	20	20	0.039600000000000003	8.7320005378912431e-07	1.0000008732000538	1	2	0	1	0.87320005378912335	0	0.87319999999999998
15	10	10	10	0.039600000000000003	4.772000284411218e-07	1.0000004772000284	1	2	0	1	0.4772000284411218	0	0.47720000000000007
16	11	10	10	0.039600000000000003	5.1680003080128202e-07	1.0000005168000308	1	2	0	1	0.51680003080128201	0	0.51680000000000015
17	21	20	20	0.039600000000000003	9.1280005622848445e-07	1.0000009128000562	1	2	0	1	0.91280005622848348	0	0.91279999999999994
18	36	100	100	0.039600000000000003	1.5860000983637385e-06	1.0000015860000984	1	2	0	1	1.5860000976976174	1.1102230246251565e-16	1.5860000000000003
19	22	20	20	0.039600000000000003	9.5240005866788429e-07	1.0000009524000586	1	2	0	1	0.95240005866788424	0	0.95239999999999991
20	2	2	2	0.039600000000000003	1.6040000955984078e-07	1.0000001604000095	1	2	0	1	0.16040000955984057	0	0.16039999999999999
21	12	10	10	0.039600000000000003	5.5640003316144225e-07	1.0000005564000332	1	2	0	1	0.55640003316144215	0	0.55640000000000012
22	37	100	100	0.039600000000000003	1.6256001008031013e-06	1.0000016256001008	1	2	0	1	1.6256001001369775	1.1102230246251565e-16	1.6256000000000004
23	3	2	2	0.039600000000000003	2.000000119200006e-07	1.0000002000000119	1	2	0	1	0.20000001192000072	0	0.20000000000000001
24	41	1000	1000	0.039600000000000003	1.7840001098944095e-06	1.0000017840001099	1	2	0	1	1.7840001098944074	0	1.7840000000000007
25	23	20	20	0.039600000000000003	9.9200013967356946e-07	1.0000009920001396	1	2	0	1	0.99200013967356959	0	0.99199999999999988
26	13	10	10	0.039600000000000003	5.9600003552160216e-07	1.0000005960000355	1	2	0	1	0.59600003552160219	0	0.59600000000000009
27	38	100	100	0.039600000000000003	1.665200102576326e-06	1.0000016652001025	1	2	0	1	1.6652001025763268	0	1.6652000000000005
28	31	50	50	0.039600000000000003	1.3880000855008058e-06	1.0000013880000855	1	2	0	1	1.3880000855008054	0	1.3879999999999999
29	14	10	10	0.039600000000000003	6.356000378817626e-07	1.0000006356000379	1	2	0	1	0.63560003788176245	0	0.63560000000000016
30	0	1	1	0.039600000000000003	8.1200004839520388e-08	1.0000000812000049	1	2	0	1	0.081200004839520279	0	0.081199999999999994
31	24	20	20	0.039600000000000003	1.0316001452492469e-06	1.0000010316001453	1	2	0	1	1.0316001452492467	0	1.0315999999999999
32	42	1000	1000	0.039600000000000003	1.7840001098944095e-06	1.0000017840001099	1	2	0	1	1.7840001098944076	0	1.7840000000000009
33	25	20	20	0.039600000000000003	1.1504000708646452e-06	1.0000011504000708	1	2	0	1	1.1504000708646442	0	1.1503999999999999
34	26	20	20	0.039600000000000003	1.1900000733040041e-06	1.0000011900000734	1	2	0	1	1.1900000733040039	0	1.1899999999999995
35	15	10	10	0.039600000000000003	6.752000402419224e-07	1.0000006752000403	1	2	0	1	0.67520004024192248	0	0.67520000000000002
36	27	20	20	0.039600000000000003	1.2296000757433646e-06	1.0000012296000758	1	2	0	1	1.2296000757433643	0	1.2295999999999996
37	16	10	10	0.039600000000000003	7.1480004260208157e-07	1.0000007148000427	1	2	0	1	0.71480004260208263	0	0.7148000000000001
38	28	20	20	0.039600000000000003	1.2692000781827246e-06	1.0000012692000781	1	2	0	1	1.2692000781827242	0	1.2691999999999994
39	39	100	100	0.039600000000000003	1.7048001050156888e-06	1.0000017048001051	1	2	0	1	1.7048001050156871	0	1.7048000000000005
41	29	20	20	0.039600000000000003	1.308800081288217e-06	1.0000013088000812	1	2	0	1	1.3088000806220865	1.1102230246251565e-16	1.3087999999999997
42	30	20	20	0.039600000000000003	1.3484000830614432e-06	1.0000013484000831	1	2	0	1	1.3484000830614447	0	1.3483999999999996
43	1	1	1	0.039600000000000003	1.2080000719968042e-07	1.0000001208000071	1	2	0	1	0.12080000719968043	0	0.12079999999999999
44	5	5	5	0.039600000000000003	2.7920001664032114e-07	1.0000002792000167	1	2	0	1	0.27920001664032096	0	0.2792
45	40	100	100	0.039600000000000003	1.7444001074550475e-06	1.0000017444001075	1	2	0	1	1.7444001074550473	0	1.7444000000000006
46	17	10	10	0.039600000000000003	7.5440004496224254e-07	1.0000007544000449	1	2	0	1	0.75440004496224278	0	0.75439999999999996

[frame_retry_distribution]
frame_id	retry_count	probability
0	0	0.99999968120005089
0	1	3.1879987936610279e-07
0	2	6.9817169420073188e-14
0	3	1.3156112834849957e-20
0	4	2.2979477640940791e-27
0	5	3.8451589915230027e-34
1	0	0.99999857240101908
1	1	1.4275978740196624e-06
1	2	1.1069593233261493e-12
1	3	6.1858611522027706e-19
1	4	2.7903644582019779e-25
1	5	1.0795013371763004e-31
2	0	0.99999976040002869
2	1	2.3959992831169055e-07
2	2	4.2984224577257443e-14
2	3	6.9906689044368517e-21
2	4	1.0903327429541568e-27
2	5	1.6677940308973636e-34
3	0	0.99999853280107631
3	1	1.4671977569463558e-06
3	2	1.1667155844540609e-12
3	3	6.6735579566065041e-19
3	4	3.0761371374636606e-25
3	5	1.214217642081093e-31
6	0	0.99999920600031522
6	1	7.9399932065389092e-07
6	2	3.6412806602158583e-13
6	3	1.2678175179929449e-19
6	4	3.7257167941606416e-26
6	5	9.758098907869533e-33
7	0	0.99999849320113521
7	1	1.506797636736734e-06
7	2	1.2280399982931721e-12
7	3	7.1861946968360981e-19
7	4	3.3832804121537509e-25
7	5	1.3620364853356297e-31
8	0	0.99999964160006427
8	1	3.583998501888314e-07
8	2	8.5585879124174351e-14
8	3	1.7238065449042127e-20
8	4	3.1742632674636543e-27
8	5	5.5444797743965633e-34
9	0	0.99999845360119566
9	1	1.5463975133907972e-06
9	2	1.2909325646571904e-12
9	3	7.7243923602137188e-19
9	4	3.7128324512278859e-25
9	5	1.5238897462260881e-31
10	0	0.99999916640034747
10	1	8.3359925376161358e-07
10	2	3.9879385843385311e-13
10	3	1.4409297052497701e-19
10	4	4.3753946080396122e-26
10	5	1.5263950237990346e-32
11	0	0.99999960200007931
11	1	3.9799981787524212e-07
11	2	1.0292274676834171e-13
11	3	2.2068970523947491e-20
11	4	4.2742711258743244e-27
11	5	7.7828476223036369e-34
12	0	0.9999995624000958
12	1	4.3759978242533469e-07
12	2	1.2182777216627774e-13
12	3	2.7710927068312754e-20
12	4	5.632560508121164e-27
12	5	1.0677330278310609e-33
14	0	0.99999912680038128
14	1	8.7319918373302248e-07
14	2	4.3502780653807813e-13
14	3	1.6290458887812997e-19
14	4	6.3963197618917747e-26
14	5	1.9515030337421965e-32
15	0	0.99999952280011395
15	1	4.7719974383910883e-07
15	2	1.4230095513168524e-13
15	3	3.4226034081047674e-20
15	4	7.2861797015460825e-27
15	5	1.436064533451611e-33
16	0	0.99999948320013354
16	1	5.1679970211656597e-07
16	2	1.6434229547826706e-13
16	3	4.1676390551226183e-20
16	4	9.2746361115511379e-27
16	5	1.8982134042260171e-33
17	0	0.99999908720041664
17	1	9.1279911056811434e-07
17	2	4.7282991014795976e-13
17	3	1.8327872993879722e-19
17	4	7.3758937337118666e-26
17	5	2.3056589646632944e-32
18	0	0.99999841400125766
18	1	1.5859973869085512e-06
18	2	1.3553932833598207e-12
18	3	8.2887719339630091e-19
18	4	4.0658560146899657e-25
18	5	1.7007524172166625e-31
18	6	1.1102230246251565e-16
19	0	0.99999904760045366
19	1	9.5239903426688967e-07
19	2	5.1220012851094968e-13
19	3	2.4584372884883968e-19
19	4	8.8730479395882023e-26
19	5	2.7560758764271359e-32
20	0	0.99999983960001293
20	1	1.6039996471200407e-07
20	2	2.2423913730272827e-14
20	3	3.0758464660060318e-21
20	4	4.2389510153513236e-28
20	5	5.9020297401530198e-35
21	0	0.9999994436001548
21	1	5.5639965725770586e-07
21	2	1.8795179301972609e-13
21	3	5.0124095458084903e-20
21	4	1.1639896261111316e-26
21	5	2.4708735122101945e-33
22	0	0.99999837440132122
22	1	1.6255972572899951e-06
22	2	1.4214221542147676e-12
22	3	8.8799544052093843e-19
22	4	4.4434384535874513e-25
22	5	1.8936435777533617e-31
22	6	1.1102230246251565e-16
23	0	0.99999980000001998
23	1	1.9999994808000664e-07
23	2	3.191998981113763e-14
23	3	4.782979521540349e-21
23	4	7.0215048471049405e-28
23	5	1.025099317051922e-34
24	0	0.99999821600159133
24	1	1.7839967074526411e-06
24	2	1.7012191554317389e-12
24	3	1.1525133004229176e-18
24	4	6.2219646707283459e-25
24	5	2.8474714700119576e-31
24	6	1.2775635182738493e-37
25	0	0.99999900800049213
25	1	9.9199887626303628e-07
25	2	6.3170484549128284e-13
25	3	2.8072242074575186e-19
25	4	1.0198227243152539e-25
25	5	3.2284813166547369e-32
26	0	0.99999940400017762
26	1	5.9599960926252807e-07
26	2	2.1312944756976477e-13
26	3	5.9631247771024665e-20
26	4	1.442638579028798e-26
26	5	3.1725958573566153e-33
27	0	0.99999833480138645
27	1	1.6651971245351223e-06
27	2	1.489019177035724e-12
27	3	9.4985607609796907e-19
27	4	4.8466917100062759e-25
27	5	2.1036273680675006e-31
28	0	0.9999986120009634
28	1	1.3879979879566588e-06
28	2	1.0487712150957464e-12
28	3	5.7224832962045412e-19
28	4	2.5249487964663974e-25
28	5	9.569978307091351e-32
29	0	0.9999993644002021
29	1	6.3559955813103386e-07
29	2	2.3987525894208659e-13
29	3	7.0259946449609729e-20
29	4	1.7680989455741812e-26
29	5	4.023885948465839e-33
30	0	0.99999991880000338
30	1	8.1199988567040908e-08
30	2	8.1362383694976496e-15
30	3	9.1485309547149399e-22
30	4	1.1044980683036896e-28
30	5	1.3990974672351706e-35
31	0	0.99999896840053215
31	1	1.0315987905528688e-06
31	2	6.7734772415239366e-13
31	3	3.0984060355158866e-19
31	4	1.1559201223796371e-25
31	5	3.7494451934836006e-32
32	0	0.99999821600159133
32	1	1.7839967074526411e-06
32	2	1.7012191554317389e-12
32	3	1.1525133004229176e-18
32	4	6.2219646707283459e-25
32	5	2.8474714700119576e-31
32	6	1.2775635182738493e-37
33	0	0.99999884960066177
33	1	1.1503986057160456e-06
33	2	7.3257378699343239e-13
33	3	3.4181387687914063e-19
33	4	1.3062903055002996e-25
33	5	4.3368428642987098e-32
34	0	0.999998810000708
34	1	1.1899985105969316e-06
34	2	7.8135297392660138e-13
34	3	3.7486436756944597e-19
34	4	1.4694718984354437e-25
34	5	4.993584348426007e-32
35	0	0.99999932480022802
35	1	6.751995038632223e-07
35	2	2.6818922695039363e-13
