# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.496795	0.523347	37	1
always_on_tmr	0.500351	0.500351	37	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	17504628	3	0	2.77778e-13
on_demand_tmr	112294910	3	0	2.77778e-14
on_demand_tmr	222220226	3	0	2.77778e-13
on_demand_tmr	226444505	3	0	2.77778e-14
always_on_tmr	17504628	3	0	2.77778e-13
always_on_tmr	112294910	3	0	2.77778e-14
always_on_tmr	222220226	3	0	2.77778e-13
always_on_tmr	226444505	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	333023404	0	0	0	4	0	10	10	1	0	4.76e-08	1	1.6728
on_demand_tmr	344993256	0	0	0	1	4	100	100	1	0	4.76e-08	1	3.7632
on_demand_tmr	355233084	0	0	0	0	2	2	2	1	0	4.76e-08	1	0.2984
on_demand_tmr	376386878	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.8156
on_demand_tmr	483649995	0	0	0	4	1	20	20	1	0	4.16e-08	1	3.2676
on_demand_tmr	501253509	0	0	0	2	1	20	20	1	0	4.36e-08	1	2.9188
on_demand_tmr	539629888	0	0	0	1	2	5	5	1	0	4.96e-08	1	0.7506
on_demand_tmr	582740043	0	0	0	0	1	100	100	1	0	4.76e-08	1	4.4252
on_demand_tmr	623997593	0	0	0	1	0	100	100	1	0	5.16e-08	1	3.7156
on_demand_tmr	635208695	0	0	0	2	1	1000	1000	1	0	4.16e-08	1	5.7328
on_demand_tmr	658939550	0	0	0	1	0	20	20	1	0	4.76e-08	1	2.8752
on_demand_tmr	702838261	0	0	0	2	4	10	10	1	0	7.86e-08	1	2.4554
on_demand_tmr	739855166	0	0	0	0	2	100	100	1	0	4.36e-08	1	3.9416
on_demand_tmr	748101917	0	0	0	0	3	100	100	1	0	4.56e-08	1	4.5124
on_demand_tmr	769275179	0	0	0	2	3	100	100	1	0	4.56e-08	1	3.898
on_demand_tmr	796296878	0	0	0	4	3	10	10	1	0	4.96e-08	1	2.6076
on_demand_tmr	803254470	0	0	0	3	4	10	10	1	0	6.16e-08	1	1.5556
on_demand_tmr	820694596	0	0	0	3	1	20	20	1	0	5.16e-08	1	0.8022
on_demand_tmr	832960319	0	0	0	0	2	5	5	1	0	5.36e-08	1	0.701
on_demand_tmr	841821823	0	0	0	3	2	100	100	1	0	1.666e-07	1	4.7682
on_demand_tmr	847166788	0	0	0	0	4	20	20	1	0	8.66e-08	1	1.4424
on_demand_tmr	896022082	0	0	0	2	3	20	20	1	0	6.96e-08	1	1.6252
on_demand_tmr	929552475	0	0	0	0	4	20	20	1	0	8.66e-08	1	1.4424
on_demand_tmr	1006323331	0	0	0	2	4	100	100	1	0	3.96e-08	1	4.8078
on_demand_tmr	1029418911	0	0	0	2	4	20	20	1	0	1.026e-07	1	2.558
on_demand_tmr	1042130494	0	0	0	0	1	1	1	1	0	4.76e-08	1	0.215
on_demand_tmr	1068816011	0	0	0	1	0	10	10	1	0	6.96e-08	1	0.8718
on_demand_tmr	1076812497	0	0	0	2	0	1000	1000	1	0	6.96e-08	1	5.9708
on_demand_tmr	1083599015	0	0	0	1	4	10	10	1	0	6.96e-08	1	0.993
on_demand_tmr	1121811269	0	0	0	0	4	10	10	1	0	8.66e-08	1	1.4424
on_demand_tmr	1192661840	0	0	0	4	0	50	50	1	0	4.56e-08	1	3.4816
on_demand_tmr	1246926374	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.8156
on_demand_tmr	1253272521	0	0	0	2	4	20	20	1	0	1.026e-07	1	2.558
on_demand_tmr	1262903850	0	0	0	3	0	10	10	1	0	6.96e-08	1	1.8852
on_demand_tmr	1304449685	0	0	0	1	3	20	20	1	0	4.76e-08	1	2.032
on_demand_tmr	1382283296	0	0	0	3	0	20	20	1	0	6.96e-08	1	1.8852
on_demand_tmr	1459828738	0	0	0	2	1	20	20	1	0	4.36e-08	1	2.9188
on_demand_tmr	1467167202	0	0	0	1	0	20	20	1	0	6.96e-08	1	0.8718
on_demand_tmr	1496820354	0	0	0	2	1	1	1	1	0	3.96e-08	1	0.1278
on_demand_tmr	1515792690	0	0	0	2	4	10	10	1	0	7.86e-08	1	2.4554
on_demand_tmr	1516513259	0	0	0	1	4	100	100	1	0	4.76e-08	1	3.7632
on_demand_tmr	1526644082	0	0	0	2	4	10	10	1	0	7.86e-08	1	2.4554
on_demand_tmr	1531623286	0	0	0	0	3	10	10	1	0	4.76e-08	1	1.762
on_demand_tmr	1544782063	0	0	0	3	0	10	10	1	0	6.96e-08	1	1.8852
on_demand_tmr	1560143651	0	0	0	4	0	100	100	1	0	4.56e-08	1	3.4816
on_demand_tmr	1632440895	0	0	0	2	0	100	100	1	0	4.36e-08	1	4.8514
on_demand_tmr	1640530828	0	0	0	2	3	1000	1000	1	0	4.16e-08	1	5.816
on_demand_tmr	1759387463	0	0	0	4	0	20	20	1	0	4.36e-08	1	3.3528
on_demand_tmr	1794936845	0	0	0	1	2	10	10	1	0	4.96e-08	1	0.7506
on_demand_tmr	1839145952	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.8156
on_demand_tmr	1874137783	0	0	0	0	2	2	2	1	0	4.76e-08	1	0.2984
on_demand_tmr	1884812486	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.6252
on_demand_tmr	1925270960	0	0	0	0	1	20	20	1	0	6.16e-08	1	2.6692
on_demand_tmr	1925332329	0	0	0	3	2	10	10	1	0	4.76e-08	1	1.9328
on_demand_tmr	1931991380	0	0	0	2	3	20	20	1	0	4.76e-08	1	3.008
on_demand_tmr	1959056222	0	0	0	1	0	100	100	1	0	5.16e-08	1	3.7156
on_demand_tmr	1968370999	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.6252
on_demand_tmr	1973533256	0	0	0	1	0	100	100	1	0	5.16e-08	1	3.7156
on_demand_tmr	2024355477	0	0	0	1	0	1	1	1	0	4.76e-08	1	0.0882
on_demand_tmr	2039380397	0	0	0	1	3	10	10	1	0	4.76e-08	1	2.032
on_demand_tmr	2074756545	0	0	0	1	4	20	20	1	0	6.96e-08	1	0.993
on_demand_tmr	2166936579	0	0	0	1	0	2	2	1	0	4.76e-08	1	0.0882
on_demand_tmr	2189351541	0	0	0	0	1	10	10	1	0	6.16e-08	1	2.6692
on_demand_tmr	2213454629	0	0	0	3	4	10	10	1	0	6.16e-08	1	1.5556
on_demand_tmr	2231969770	0	0	0	0	2	2	2	1	0	4.76e-08	1	0.2984
on_demand_tmr	2249752247	0	0	0	3	4	10	10	1	0	5.16e-08	1	1.494
on_demand_tmr	2274452618	0	0	0	0	4	10	10	1	0	4.76e-08	1	1.3558
on_demand_tmr	2301200516	0	0	0	1	0	20	20	1	0	6.96e-08	1	0.8718
on_demand_tmr	2301709415	0	0	0	2	3	20	20	1	0	6.96e-08	1	1.6252
on_demand_tmr	2364384797	0	0	0	3	2	100	100	1	0	3.96e-08	1	4.6016
on_demand_tmr	2366755717	0	0	0	0	3	1000	1000	1	0	3.96e-08	1	5.8556
on_demand_tmr	2397719093	0	0	0	0	3	20	20	1	0	4.76e-08	1	1.762
on_demand_tmr	2410828986	0	0	0	2	4	10	10	1	0	1.026e-07	1	2.558
on_demand_tmr	2415491719	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.8156
on_demand_tmr	2437514207	0	0	0	1	0	5	5	1	0	1.026e-07	1	0.6058
on_demand_tmr	2455836619	0	0	0	3	0	20	20	1	0	6.96e-08	1	1.8852
on_demand_tmr	2461114061	0	0	0	0	1	20	20	1	0	6.16e-08	1	2.6692
on_demand_tmr	2464603483	0	0	0	4	0	10	10	1	0	4.76e-08	1	1.6728
on_demand_tmr	2465285065	0	0	0	0	4	10	10	1	0	8.66e-08	1	1.4424
on_demand_tmr	2505333303	0	0	0	1	4	100	100	1	0	4.76e-08	1	3.7632
on_demand_tmr	2529114055	0	0	0	3	4	1000	1000	1	0	4.16e-08	1	5.7744
on_demand_tmr	2546903329	0	0	0	2	0	100	100	1	0	4.36e-08	1	4.8514
on_demand_tmr	2604244468	0	0	0	1	0	10	10	1	0	6.96e-08	1	0.8718
on_demand_tmr	2621873510	0	0	0	2	4	20	20	1	0	7.86e-08	1	2.4554
on_demand_tmr	2802491382	0	0	0	3	1	10	10	1	0	5.16e-08	1	0.8022
on_demand_tmr	2820033142	0	0	0	3	1	100	100	1	0	4.36e-08	1	3.6244
on_demand_tmr	2846942278	0	0	0	1	4	20	20	1	0	6.96e-08	1	0.993
on_demand_tmr	2929241011	0	0	0	0	4	20	20	1	0	8.66e-08	1	1.4424
on_demand_tmr	2931286703	0	0	0	1	0	10	10	1	0	6.96e-08	1	0.8718
on_demand_tmr	2971129424	0	0	0	3	0	10	10	1	0	6.96e-08	1	1.8852
on_demand_tmr	3089825955	0	0	0	4	2	10	10	1	0	4.76e-08	1	1.0406
on_demand_tmr	3101321235	0	0	0	1	2	5	5	1	0	4.96e-08	1	0.7506
on_demand_tmr	3185985943	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.6252
on_demand_tmr	3232166432	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.6252
on_demand_tmr	3243902611	0	0	0	3	2	20	20	1	0	5.16e-08	1	1.9844
on_demand_tmr	3244166117	0	0	0	2	0	20	20	1	0	4.16e-08	1	2.9604
on_demand_tmr	3353936212	0	0	0	4	2	20	20	1	0	4.96e-08	1	1.3082
on_demand_tmr	3362945445	0	0	0	4	1	100	100	1	0	4.96e-08	1	4.0328
on_demand_tmr	3371486429	0	0	0	3	0	50	50	1	0	5.36e-08	1	3.5352
on_demand_tmr	3376463525	0	0	0	3	0	20	20	1	0	6.96e-08	1	1.8852
on_demand_tmr	3384638908	0	0	0	3	1	1000	1000	1	0	4.56e-08	1	5.6912
on_demand_tmr	3386420347	0	0	0	1	0	20	20	1	0	6.96e-08	1	0.8718
on_demand_tmr	3394160172	0	0	0	0	1	20	20	1	0	6.16e-08	1	2.6692
on_demand_tmr	3397459557	0	0	0	3	1	10	10	1	0	5.16e-08	1	0.8022
on_demand_tmr	3399029644	0	0	0	2	4	10	10	1	0	7.86e-08	1	2.4554
on_demand_tmr	3438392419	0	0	0	4	2	100	100	1	0	4.76e-08	1	3.8108
on_demand_tmr	3443978274	0	0	0	0	2	100	100	1	0	4.36e-08	1	3.9416
on_demand_tmr	3447462327	0	0	0	2	1	5	5	1	0	4.16e-08	1	0.6474
on_demand_tmr	3466562596	0	0	0	1	2	1	1	1	0	3.96e-08	1	0.1674
on_demand_tmr	3551311790	0	0	0	1	3	1000	1000	1	0	4.56e-08	1	5.9012
on_demand_tmr	3555250056	0	0	0	1	0	10	10	1	0	6.96e-08	1	0.8718
on_demand_tmr	3556582915	0	0	0	4	0	100	100	1	0	4.56e-08	1	3.4816
on_demand_tmr	3559187991	0	0	0	4	3	20	20	1	0	4.96e-08	1	2.6076
on_demand_tmr	3568295527	0	0	0	3	2	10	10	1	0	5.16e-08	1	1.9844
on_demand_tmr	3580078940	0	0	0	0	4	10	10	1	0	8.66e-08	1	1.4424
on_demand_tmr	3593002941	0	0	0	4	3	10	10	1	0	4.96e-08	1	2.6076
on_demand_tmr	3607720784	0	0	0	3	0	10	10	1	0	6.96e-08	1	1.8852
on_demand_tmr	3639205955	0	0	0	1	0	20	20	1	0	4.76e-08	1	2.8752
on_demand_tmr	3646824132	0	0	0	3	1	100	100	1	0	4.56e-08	1	3.5808
always_on_tmr	17504628	0	3	1	4	3	100	100	2	1	1.73056e-15	2.77778e-13	3.8118
always_on_tmr	17504628	1	3	2	2	3	100	100	2	1	1.89696e-15	2.77778e-13	4.7216
always_on_tmr	17504628	2	3	2	0	3	100	100	2	1	1.89696e-15	2.77778e-13	4.454
always_on_tmr	112294910	0	3	1	4	2	10	10	2	1	2.35296e-15	2.77778e-14	1.7834
always_on_tmr	112294910	1	3	2	3	2	10	10	2	1	2.45616e-15	2.77778e-14	2.0058
always_on_tmr	112294910	2	3	2	1	2	10	10	2	1	2.65856e-15	2.77778e-14	1.9066
always_on_tmr	222220226	0	3	1	4	1	100	100	2	1	2.06336e-15	2.77778e-13	4.676
always_on_tmr	222220226	1	3	2	3	1	100	100	2	1	1.98016e-15	2.77778e-13	3.3242
always_on_tmr	222220226	2	3	2	0	1	100	100	2	1	2.17056e-15	2.77778e-13	3.7702
always_on_tmr	226444505	0	3	1	3	4	10	10	2	1	3.17856e-15	2.77778e-14	1.5434
always_on_tmr	226444505	1	3	2	2	4	10	10	2	1	4.46856e-15	2.77778e-14	1.6386
always_on_tmr	226444505	2	3	2	0	4	10	10	2	1	4.05576e-15	2.77778e-14	1.4302
always_on_tmr	4100391288	0	2	0	0	3	20	20	2	1	1.98816e-15	5.55556e-13	1.7378
always_on_tmr	4135797719	0	2	0	4	0	20	20	2	1	2.07536e-15	5.55556e-13	2.7474
always_on_tmr	4157013937	0	2	0	0	1	1	1	2	1	2.07536e-15	2.77778e-14	0.2856
always_on_tmr	4204223080	0	2	0	0	3	10	10	2	1	1.98816e-15	2.77778e-13	1.7378
always_on_tmr	4222517463	0	2	0	4	2	20	20	2	1	2.35296e-15	5.55556e-13	1.7834
always_on_tmr	4233539361	0	2	0	0	1	1	1	2	1	2.07536e-15	2.77778e-14	0.2856
always_on_tmr	4237930783	0	2	0	4	2	100	100	2	1	1.90096e-15	2.77778e-12	3.679
always_on_tmr	4247432603	0	2	0	3	0	100	100	2	1	2.65856e-15	2.77778e-12	3.8614
always_on_tmr	4248963807	0	2	0	2	3	20	20	2	1	3.17376e-15	5.55556e-13	2.793
always_on_tmr	3670359541	0	1	0	2	0	2	2	2	1	1.56816e-15	5.55556e-14	0.4124
always_on_tmr	3689861550	0	1	0	1	4	20	20	2	1	3.59136e-15	5.55556e-13	0.8166
always_on_tmr	3722815711	0	1	0	3	4	10	10	2	1	3.17856e-15	2.77778e-13	1.5434
always_on_tmr	3729984311	0	1	0	1	0	20	20	2	1	3.30176e-15	5.55556e-13	2.6602
always_on_tmr	3738474641	0	1	0	2	4	10	10	2	1	3.59136e-15	2.77778e-13	1.853
always_on_tmr	3847979727	0	1	0	2	4	10	10	2	1	6.02736e-15	2.77778e-13	1.853
always_on_tmr	3904360128	0	1	0	0	4	50	50	2	1	1.73056e-15	1.38889e-12	2.9178
always_on_tmr	3905534453	0	1	0	3	0	20	20	2	1	2.93216e-15	5.55556e-13	2.4458
always_on_tmr	3907596132	0	1	0	1	4	10	10	2	1	3.59136e-15	2.77778e-13	0.8166
always_on_tmr	3920795833	0	1	0	3	0	100	100	2	1	2.65856e-15	2.77778e-12	3.8614
always_on_tmr	3972815931	0	1	0	1	4	10	10	2	1	3.59136e-15	2.77778e-13	0.8166
always_on_tmr	4028824965	0	1	0	2	3	20	20	2	1	3.17376e-15	5.55556e-13	2.793
always_on_tmr	4045173780	0	1	0	0	4	50	50	2	1	1.73056e-15	1.38889e-12	2.9178
always_on_tmr	4062970207	0	1	0	1	0	100	100	2	1	2.16256e-15	2.77778e-12	3.6354
always_on_tmr	4086108986	0	1	0	3	2	20	20	2	1	2.45616e-15	5.55556e-13	2.0058
always_on_tmr	4097153602	0	1	0	0	1	100	100	2	1	2.17056e-15	2.77778e-12	3.7702
always_on_tmr	289543753	0	0	0	0	4	10	10	1	0	7.86e-08	1	1.3786
always_on_tmr	320297689	0	0	0	4	2	100	100	1	0	4.36e-08	1	3.3678
always_on_tmr	333023404	0	0	0	4	0	10	10	1	0	4.76e-08	1	1.3
always_on_tmr	344993256	0	0	0	1	4	100	100	1	0	4.76e-08	1	4.5016
always_on_tmr	355233084	0	0	0	0	2	2	2	1	0	4.76e-08	1	0.3728
always_on_tmr	376386878	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.9066
always_on_tmr	483649995	0	0	0	4	1	20	20	1	0	4.16e-08	1	2.8346
always_on_tmr	501253509	0	0	0	2	1	20	20	1	0	4.36e-08	1	2.7038
always_on_tmr	539629888	0	0	0	1	2	5	5	1	0	4.96e-08	1	0.5922
always_on_tmr	582740043	0	0	0	0	1	100	100	1	0	4.76e-08	1	3.5422
always_on_tmr	623997593	0	0	0	1	0	100	100	1	0	4.36e-08	1	3.4114
always_on_tmr	635208695	0	0	0	2	1	1000	1000	1	0	4.16e-08	1	4.8028
always_on_tmr	658939550	0	0	0	1	0	20	20	1	0	6.16e-08	1	2.6602
always_on_tmr	702838261	0	0	0	2	4	10	10	1	0	6.96e-08	1	1.853
always_on_tmr	739855166	0	0	0	0	2	100	100	1	0	4.36e-08	1	3.5858
always_on_tmr	748101917	0	0	0	0	3	100	100	1	0	4.56e-08	1	3.7246
always_on_tmr	769275179	0	0	0	2	3	100	100	1	0	4.56e-08	1	4.7216
always_on_tmr	796296878	0	0	0	4	3	10	10	1	0	4.96e-08	1	2.4954
always_on_tmr	803254470	0	0	0	3	4	10	10	1	0	6.16e-08	1	1.4918
always_on_tmr	820694596	0	0	0	3	1	20	20	1	0	5.16e-08	1	0.6438
always_on_tmr	832960319	0	0	0	0	2	5	5	1	0	5.36e-08	1	0.3984
always_on_tmr	841821823	0	0	0	3	2	100	100	1	0	1.666e-07	1	4.0676
always_on_tmr	847166788	0	0	0	0	4	20	20	1	0	7.86e-08	1	1.3786
always_on_tmr	896022082	0	0	0	2	3	20	20	1	0	6.96e-08	1	1.0344
always_on_tmr	929552475	0	0	0	0	4	20	20	1	0	7.86e-08	1	1.3786
always_on_tmr	1006323331	0	0	0	2	4	100	100	1	0	3.96e-08	1	4.5412
always_on_tmr	1029418911	0	0	0	2	4	20	20	1	0	6.96e-08	1	1.853
always_on_tmr	1042130494	0	0	0	0	1	1	1	1	0	4.76e-08	1	0.1628
always_on_tmr	1068816011	0	0	0	1	0	10	10	1	0	5.36e-08	1	1.6922
always_on_tmr	1076812497	0	0	0	2	0	1000	1000	1	0	6.96e-08	1	5.0052
always_on_tmr	1083599015	0	0	0	1	4	10	10	1	0	6.96e-08	1	0.8166
always_on_tmr	1121811269	0	0	0	0	4	10	10	1	0	5.16e-08	1	1.4302
always_on_tmr	1192661840	0	0	0	4	0	50	50	1	0	4.56e-08	1	3.017
always_on_tmr	1246926374	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.9066
always_on_tmr	1253272521	0	0	0	2	4	20	20	1	0	8.66e-08	1	0.9032
always_on_tmr	1262903850	0	0	0	3	0	10	10	1	0	4.76e-08	1	2.4458
always_on_tmr	1304449685	0	0	0	1	3	20	20	1	0	4.76e-08	1	2.3982
always_on_tmr	1382283296	0	0	0	3	0	20	20	1	0	6.16e-08	1	0.9648
always_on_tmr	1459828738	0	0	0	2	1	20	20	1	0	4.36e-08	1	2.7038
always_on_tmr	1467167202	0	0	0	1	0	20	20	1	0	6.16e-08	1	2.6602
always_on_tmr	1496820354	0	0	0	2	1	1	1	1	0	3.96e-08	1	0.2024
always_on_tmr	1515792690	0	0	0	2	4	10	10	1	0	6.96e-08	1	1.853
always_on_tmr	1516513259	0	0	0	1	4	100	100	1	0	4.76e-08	1	4.5016
always_on_tmr	1526644082	0	0	0	2	4	10	10	1	0	6.96e-08	1	1.853
always_on_tmr	1531623286	0	0	0	0	3	10	10	1	0	4.36e-08	1	1.587
always_on_tmr	1544782063	0	0	0	3	0	10	10	1	0	6.16e-08	1	0.9648
always_on_tmr	1560143651	0	0	0	4	0	100	100	1	0	4.56e-08	1	3.017
always_on_tmr	1632440895	0	0	0	2	0	100	100	1	0	4.36e-08	1	4.5848
always_on_tmr	1640530828	0	0	0	2	3	1000	1000	1	0	4.16e-08	1	5.5122
always_on_tmr	1759387463	0	0	0	4	0	20	20	1	0	4.36e-08	1	2.7474
always_on_tmr	1794936845	0	0	0	1	2	10	10	1	0	4.96e-08	1	0.5922
always_on_tmr	1839145952	0	0	0	1	2	20	20	1	0	5.36e-08	1	1.9066
always_on_tmr	1874137783	0	0	0	0	2	2	2	1	0	4.76e-08	1	0.3728
always_on_tmr	1884812486	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.0344
always_on_tmr	1925270960	0	0	0	0	1	20	20	1	0	6.16e-08	1	2.557
always_on_tmr	1925332329	0	0	0	3	2	10	10	1	0	5.16e-08	1	2.0058
always_on_tmr	1931991380	0	0	0	2	3	20	20	1	0	6.96e-08	1	1.0344
always_on_tmr	1959056222	0	0	0	1	0	100	100	1	0	4.96e-08	1	3.6354
always_on_tmr	1968370999	0	0	0	2	3	10	10	1	0	6.96e-08	1	1.0344
always_on_tmr	1973533256	0	0	0	1	0	100	100	1	0	4.96e-08	1	3.6354
always_on_tmr	2024355477	0	0	0	1	0	1	1	1	0	4.76e-08	1	0.1152
always_on_tmr	2039380397	0	0	0	1	3	10	10	1	0	4.76e-08	1	2.3982
always_on_tmr	2074756545	0	0	0	1	4	20	20	1	0	6.96e-08	1	0.8166
always_on_tmr	2166936579	0	0	0	1	0	2	2	1	0	4.76e-08	1	0.1152
