code	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
2309154983	16	10	10	1	0	0	0	0
3118055010	32	10	10	0	4	0	0	0
3348370448	8	100	100	0	3	0	0	0
1365798822	8	10	10	4	3	0	0	0
3244748100	8	100	100	3	4	0	1	0
2685894170	8	20	20	1	0	0	1	0
1566286739	16	100	100	4	2	0	0	0
563303521	8	20	20	3	2	0	0	0
1060287171	16	20	20	3	4	0	2	0
3768262039	16	100	100	2	1	0	0	0
3890960693	8	10	10	2	0	0	0	0
515876086	32	5	5	2	1	0	0	0
2804845337	8	50	50	3	4	0	1	0
3897053224	16	10	10	4	2	0	2	0
551100690	8	10	10	1	0	0	0	0
2263837826	16	10	10	1	2	0	0	0
2622107711	16	100	100	0	4	0	2	0
3818144693	16	20	20	2	4	0	0	0
221387657	32	10	10	3	0	0	0	0
1589412429	16	1	1	0	2	0	0	0
1700079180	16	20	20	0	4	0	1	0
1752211312	8	100	100	4	3	0	0	0
3995048892	16	10	10	0	1	0	0	0
2733081632	32	20	20	4	0	0	0	0
3893666006	16	20	20	0	3	0	0	0
3192568972	8	100	100	2	4	0	0	0
553958153	16	20	20	2	0	0	2	0
114671122	8	20	20	4	3	0	0	0
1997995713	128	1000	1000	1	4	0	0	0
1910426907	8	100	100	1	2	0	0	0
643478554	16	20	20	3	2	0	0	0
3377797515	32	2	2	1	2	0	0	0
987541829	16	20	20	1	2	0	0	0
2744075239	16	5	5	0	1	0	0	0
3991860696	16	10	10	0	1	0	3	0
4056859636	8	20	20	3	2	0	3	0
2747822748	8	100	100	0	2	0	0	0
2268119066	16	20	20	3	2	0	2	0
3841682967	16	100	100	2	0	0	0	0
3099653923	16	20	20	3	0	0	0	0
3891290429	32	10	10	2	0	0	0	0
2544454226	8	10	10	4	1	0	0	0
2156727782	8	1000	1000	4	0	0	0	0
2665466300	16	1	1	1	0	0	0	0
619809991	16	20	20	1	2	0	0	0
3232987081	16	10	10	2	3	0	0	0
3792372186	16	10	10	3	0	0	1	0
2077649224	8	10	10	3	4	0	0	0
3448216018	16	2	2	2	1	0	0	0
806642245	8	10	10	1	4	0	0	0
4203358452	8	10	10	1	4	0	0	0
3747038383	16	20	20	0	4	0	0	0
3938754877	16	10	10	2	3	0	0	0
944004125	32	2	2	0	1	0	0	0
1245162504	8	100	100	4	2	0	0	0
2590179050	8	20	20	1	2	0	0	0
