code	comm_id	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
1435670691	0	16	100	100	4	2	0	0	0
110670731	0	16	100	100	0	3	0	2	0
4154949786	0	32	20	20	4	2	0	0	0
2410184629	0	16	20	20	4	2	0	0	0
4252941767	0	128	10	10	2	0	0	0	0
1123837222	0	8	20	20	0	2	0	0	0
4107696143	0	16	10	10	2	3	0	2	0
3139340986	0	32	100	100	3	1	0	1	0
123213474	0	16	20	20	1	0	0	2	0
4253921179	0	16	20	20	0	4	0	0	0
9475315	0	8	100	100	3	1	0	0	0
2015010533	0	8	20	20	1	4	0	0	0
3729213687	0	32	100	100	0	4	0	0	0
2163025893	0	8	10	10	2	1	0	1	0
795607483	0	16	10	10	0	1	0	0	0
4114809666	0	32	5	5	0	2	0	0	0
251262267	0	16	10	10	0	2	0	0	0
3136618558	0	16	10	10	0	4	0	1	0
1923641127	0	8	100	100	2	1	0	0	0
4294080743	0	16	10	10	3	0	0	3	0
1589913756	0	16	1000	1000	1	3	0	0	0
795436404	0	8	20	20	2	4	0	0	0
3031304585	0	16	1	1	2	0	0	0	0
15035919	0	16	10	10	1	3	0	0	0
3871845710	0	32	20	20	4	3	0	0	0
1937317704	0	8	100	100	2	3	0	0	0
2794002569	0	8	10	10	0	2	0	0	0
1253372203	0	8	100	100	2	0	0	2	0
775897560	0	8	10	10	3	1	0	0	0
476678282	0	16	2	2	1	2	0	0	0
969596386	0	8	10	10	0	4	0	0	0
3559927000	0	16	10	10	2	4	0	0	0
2146724536	0	16	20	20	3	1	0	0	0
1093932902	0	16	20	20	2	1	0	0	0
2366232404	0	16	20	20	2	0	0	0	0
2618866473	0	32	100	100	2	3	0	0	0
2486660856	0	8	10	10	3	4	0	1	0
2272659035	0	16	1000	1000	0	3	0	3	0
2471659810	0	8	50	50	1	3	0	0	0
2738854722	0	16	2	2	2	1	0	2	0
2581940415	0	16	20	20	1	3	0	0	0
1040005724	0	16	1	1	1	0	0	0	0
3133558957	0	8	10	10	2	4	0	0	0
2125143851	0	16	10	10	2	3	0	0	0
3939752548	0	8	5	5	2	0	0	0	0
2031236392	0	8	20	20	0	4	0	0	0
1032232296	0	16	20	20	2	1	0	1	0
2429317469	0	16	20	20	1	4	0	0	0
3599347054	0	8	10	10	4	2	0	0	0
1949202633	0	8	100	100	3	0	0	0	0
1555927331	0	32	1	1	1	2	0	0	0
3477657720	0	8	20	20	4	3	0	0	0
766660047	0	16	100	100	4	0	0	2	0
75338555	0	8	10	10	0	1	0	0	0
2547448507	0	8	10	10	4	1	0	0	0
2617407164	0	16	1000	1000	1	0	0	0	0
3203796121	0	16	20	20	1	0	0	1	0
3955569945	0	16	10	10	3	2	0	0	0
3805172322	0	16	20	20	2	0	0	0	0
406330584	0	8	10	10	0	3	0	1	0
777983306	0	8	1000	1000	0	1	0	1	0
2739848874	0	8	20	20	3	4	0	0	0
853415051	0	32	100	100	2	4	0	0	0
1532255675	0	8	20	20	0	3	0	0	0
2226597563	0	16	100	100	3	4	0	3	0
685657477	0	32	20	20	3	2	0	0	0
4050701927	0	16	10	10	4	2	0	0	0
