base_bandwidth_utilization	0.22679119999999997
expected_bandwidth_utilization	0.22679129718720145

rounded_expected_bandwidth_utilization	0.45358240000000016

bandwidth_utilization_p99	0.22679120000000008

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	21	20	20	0.039600000000000003	9.1280005622848445e-07	1.0000009128000562	1	2	0	1	0.91280005622848348	0	0.91279999999999994
1	36	100	100	0.039600000000000003	1.5860000983637385e-06	1.0000015860000984	1	2	0	1	1.5860000976976174	1.1102230246251565e-16	1.5860000000000003
2	37	100	100	0.039600000000000003	1.6256001008031013e-06	1.0000016256001008	1	2	0	1	1.6256001001369775	1.1102230246251565e-16	1.6256000000000004
3	6	10	10	0.039600000000000003	3.188000190004811e-07	1.0000003188000191	1	2	0	1	0.31880001900048111	0	0.31879999999999997
4	7	10	10	0.039600000000000003	3.5840002136064138e-07	1.0000003584000214	1	2	0	1	0.35840002136064125	0	0.3584
5	2	2	2	0.039600000000000003	1.6040000955984078e-07	1.0000001604000095	1	2	0	1	0.16040000955984057	0	0.16039999999999999
6	22	20	20	0.039600000000000003	9.5240005866788429e-07	1.0000009524000586	1	2	0	1	0.95240005866788424	0	0.95239999999999991
7	38	100	100	0.039600000000000003	1.665200102576326e-06	1.0000016652001025	1	2	0	1	1.6652001025763268	0	1.6652000000000005
8	23	20	20	0.039600000000000003	9.9200013967356946e-07	1.0000009920001396	1	2	0	1	0.99200013967356959	0	0.99199999999999988
9	39	100	100	0.039600000000000003	1.7048001050156888e-06	1.0000017048001051	1	2	0	1	1.7048001050156871	0	1.7048000000000005
10	24	20	20	0.039600000000000003	1.0316001452492469e-06	1.0000010316001453	1	2	0	1	1.0316001452492467	0	1.0315999999999999
11	8	10	10	0.039600000000000003	3.9800002372080187e-07	1.0000003980000238	1	2	0	1	0.39800002372080145	0	0.39800000000000002
12	40	100	100	0.039600000000000003	1.7444001074550475e-06	1.0000017444001075	1	2	0	1	1.7444001074550473	0	1.7444000000000006
13	9	10	10	0.039600000000000003	4.3760002608096215e-07	1.000000437600026	1	2	0	1	0.4376000260809616	0	0.43760000000000004
14	10	10	10	0.039600000000000003	4.772000284411218e-07	1.0000004772000284	1	2	0	1	0.4772000284411218	0	0.47720000000000007
15	25	20	20	0.039600000000000003	1.1504000708646452e-06	1.0000011504000708	1	2	0	1	1.1504000708646442	0	1.1503999999999999
16	0	1	1	0.039600000000000003	8.1200004839520388e-08	1.0000000812000049	1	2	0	1	0.081200004839520279	0	0.081199999999999994
17	11	10	10	0.039600000000000003	5.1680003080128202e-07	1.0000005168000308	1	2	0	1	0.51680003080128201	0	0.51680000000000015
18	12	10	10	0.039600000000000003	5.5640003316144225e-07	1.0000005564000332	1	2	0	1	0.55640003316144215	0	0.55640000000000012
19	26	20	20	0.039600000000000003	1.1900000733040041e-06	1.0000011900000734	1	2	0	1	1.1900000733040041	0	1.1899999999999997
20	41	100	100	0.039600000000000003	1.7840001098944095e-06	1.0000017840001099	1	2	0	1	1.7840001098944074	0	1.7840000000000007
21	27	20	20	0.039600000000000003	1.2296000757433648e-06	1.0000012296000758	1	2	0	1	1.2296000757433643	0	1.2295999999999996
22	28	20	20	0.039600000000000003	1.2692000781827246e-06	1.0000012692000781	1	2	0	1	1.2692000781827244	0	1.2691999999999997
23	29	20	20	0.039600000000000003	1.308800081288217e-06	1.0000013088000812	1	2	0	1	1.3088000806220863	1.1102230246251565e-16	1.3087999999999995
24	3	2	2	0.039600000000000003	2.000000119200006e-07	1.0000002000000119	1	2	0	1	0.20000001192000072	0	0.20000000000000001
25	4	5	5	0.039600000000000003	2.3960001428016065e-07	1.0000002396000143	1	2	0	1	0.23960001428016087	0	0.23960000000000001
26	46	1000	1000	0.039600000000000003	1.9820004360397167e-06	1.000001982000436	1	2	0	1	1.9820004360397168	0	1.9820000000000011
27	30	20	20	0.039600000000000003	1.3484000830614432e-06	1.0000013484000831	1	2	0	1	1.3484000830614449	0	1.3483999999999998
28	31	20	20	0.039600000000000003	1.3880000855008034e-06	1.0000013880000855	1	2	0	1	1.3880000855008052	0	1.3879999999999997
29	47	1000	1000	0.039600000000000003	1.9820004360397167e-06	1.000001982000436	1	2	0	1	1.982000436039717	0	1.9820000000000013
30	13	10	10	0.039600000000000003	5.9600003552160216e-07	1.0000005960000355	1	2	0	1	0.59600003552160219	0	0.59600000000000009
31	14	10	10	0.039600000000000003	6.356000378817626e-07	1.0000006356000379	1	2	0	1	0.63560003788176245	0	0.63560000000000016
32	42	100	100	0.039600000000000003	1.8236001123337651e-06	1.0000018236001122	1	2	0	1	1.8236001123337677	0	1.8236000000000008
34	15	10	10	0.039600000000000003	6.752000402419224e-07	1.0000006752000403	1	2	0	1	0.67520004024192248	0	0.67520000000000002
35	35	50	50	0.039600000000000003	1.5464000952582438e-06	1.0000015464000953	1	2	0	1	1.546400095258246	0	1.5464000000000002
36	16	10	10	0.039600000000000003	7.1480004260208157e-07	1.0000007148000427	1	2	0	1	0.71480004260208263	0	0.7148000000000001
37	32	20	20	0.039600000000000003	1.427600087940165e-06	1.0000014276000879	1	2	0	1	1.4276000879401654	0	1.4276
38	1	1	1	0.039600000000000003	1.2080000719968042e-07	1.0000001208000071	1	2	0	1	0.12080000719968043	0	0.12079999999999999
39	43	100	100	0.039600000000000003	1.8632001147731259e-06	1.0000018632001149	1	2	0	1	1.8632001147731279	0	1.8632000000000009
40	17	10	10	0.039600000000000003	7.5440004496224254e-07	1.0000007544000449	1	2	0	1	0.75440004496224278	0	0.75439999999999996
41	5	5	5	0.039600000000000003	2.7920001664032114e-07	1.0000002792000167	1	2	0	1	0.27920001664032096	0	0.2792
42	33	20	20	0.039600000000000003	1.4672000903795267e-06	1.0000014672000903	1	2	0	1	1.4672000903795257	0	1.4672000000000001
43	18	10	10	0.039600000000000003	7.9400004732240329e-07	1.0000007940000473	1	2	0	1	0.79400004732240281	0	0.79400000000000004
44	44	100	100	0.039600000000000003	1.9028001172124885e-06	1.0000019028001172	1	2	0	1	1.902800117212488	0	1.9028000000000009
45	19	10	10	0.041599999999999998	8.3360005134976344e-07	1.0000008336000514	1	2	0	1	0.83360005134976312	0	0.8335999999999999
46	45	100	100	0.039600000000000003	1.9424001204293219e-06	1.0000019424001205	1	2	0	1	1.9424001196521772	1.1102230246251565e-16	1.942400000000001
47	20	10	10	0.039600000000000003	8.7320005378912431e-07	1.0000008732000538	1	2	0	1	0.87320005378912335	0	0.87319999999999998
48	34	20	20	0.039600000000000003	1.5068000928188865e-06	1.0000015068000929	1	2	0	1	1.5068000928188858	0	1.5068000000000001

[frame_retry_distribution]
frame_id	retry_count	probability
0	0	0.99999908720041664
0	1	9.1279911056811434e-07
0	2	4.7282991014795976e-13
0	3	1.8327872993879722e-19
0	4	7.3758937337118666e-26
0	5	2.3056589646632944e-32
1	0	0.99999841400125766
1	1	1.5859973869085512e-06
1	2	1.3553932833598207e-12
1	3	8.2887719339630091e-19
1	4	4.0658560146899657e-25
1	5	1.7007524172166625e-31
1	6	1.1102230246251565e-16
2	0	0.99999837440132122
2	1	1.6255972572899951e-06
2	2	1.4214221542147676e-12
2	3	8.8799544052093843e-19
2	4	4.4434384535874513e-25
2	5	1.8936435777533617e-31
2	6	1.1102230246251565e-16
3	0	0.99999968120005089
3	1	3.1879987936610279e-07
3	2	6.9817169420073188e-14
3	3	1.3156112834849957e-20
3	4	2.2979477640940791e-27
3	5	3.8451589915230027e-34
4	0	0.99999964160006427
4	1	3.583998501888314e-07
4	2	8.5585879124174351e-14
4	3	1.7238065449042127e-20
4	4	3.1742632674636543e-27
4	5	5.5444797743965633e-34
5	0	0.99999983960001293
5	1	1.6039996471200407e-07
5	2	2.2423913730272827e-14
5	3	3.0758464660060318e-21
5	4	4.2389510153513236e-28
5	5	5.9020297401530198e-35
6	0	0.99999904760045366
6	1	9.5239903426688967e-07
6	2	5.1220012851094968e-13
6	3	2.4584372884883968e-19
6	4	8.8730479395882023e-26
6	5	2.7560758764271359e-32
7	0	0.99999833480138645
7	1	1.6651971245351223e-06
7	2	1.489019177035724e-12
7	3	9.4985607609796907e-19
7	4	4.8466917100062759e-25
7	5	2.1036273680675006e-31
8	0	0.99999900800049213
8	1	9.9199887626303628e-07
8	2	6.3170484549128284e-13
8	3	2.8072242074575186e-19
8	4	1.0198227243152539e-25
8	5	3.2284813166547369e-32
9	0	0.99999829520145322
9	1	1.7047969886439418e-06
9	2	1.5581843516364076e-12
9	3	1.0145211988202688e-18
9	4	5.2767523170662935e-25
9	5	2.3318139629791006e-31
10	0	0.99999896840053215
10	1	1.0315987905528688e-06
10	2	6.7734772415239366e-13
10	3	3.0984060355158866e-19
10	4	1.1559201223796371e-25
10	5	3.7494451934836006e-32
11	0	0.99999960200007931
11	1	3.9799981787524212e-07
11	2	1.0292274676834171e-13
11	3	2.2068970523947491e-20
11	4	4.2742711258743244e-27
11	5	7.7828476223036369e-34
12	0	0.99999825560152156
12	1	1.7443968496164457e-06
12	2	1.6289176778305076e-12
12	3	1.0820529073708517e-18
12	4	5.734781398916094e-25
12	5	2.5793605456998187e-31
13	0	0.9999995624000958
13	1	4.3759978242533469e-07
13	2	1.2182777216627774e-13
13	3	2.7710927068312754e-20
13	4	5.632560508121164e-27
13	5	1.0677330278310609e-33
14	0	0.99999952280011395
14	1	4.7719974383910883e-07
14	2	1.4230095513168524e-13
14	3	3.4226034081047674e-20
14	4	7.2861797015460825e-27
14	5	1.436064533451611e-33
15	0	0.99999884960066177
15	1	1.1503986057160456e-06
15	2	7.3257378699343239e-13
15	3	3.4181387687914063e-19
15	4	1.3062903055002996e-25
15	5	4.3368428642987098e-32
16	0	0.99999991880000338
16	1	8.1199988567040908e-08
16	2	8.1362383694976496e-15
16	3	9.1485309547149399e-22
16	4	1.1044980683036896e-28
16	5	1.3990974672351706e-35
17	0	0.99999948320013354
17	1	5.1679970211656597e-07
17	2	1.6434229547826706e-13
17	3	4.1676390551226183e-20
17	4	9.2746361115511379e-27
17	5	1.8982134042260171e-33
18	0	0.9999994436001548
18	1	5.5639965725770586e-07
18	2	1.8795179301972609e-13
18	3	5.0124095458084903e-20
18	4	1.1639896261111316e-26
18	5	2.4708735122101945e-33
19	0	0.999998810000708
19	1	1.1899985105969316e-06
19	2	7.8135297392660138e-13
19	3	3.7486436756944597e-19
19	4	1.4694718984354437e-25
19	5	4.993584348426007e-32
20	0	0.99999821600159133
20	1	1.7839967074526411e-06
20	2	1.7012191554317389e-12
20	3	1.1525133004229176e-18
20	4	6.2219646707283459e-25
20	5	2.8474714700119576e-31
20	6	1.2775635182738493e-37
21	0	0.99999877040075602
21	1	1.2295984123415051e-06
21	2	8.3170031487505421e-13
21	3	4.0997416044147008e-19
21	4	1.6474454538727124e-25
21	5	5.7273733602168566e-32
22	0	0.99999873080080537
22	1	1.2691983109497637e-06
22	2	8.8361580965249065e-13
22	3	4.4720535429627466e-19
22	4	1.8410770032928981e-25
22	5	6.5447834353201229e-32
23	0	0.99999869120085638
23	1	1.3087982064217071e-06
23	2	9.3709945807261595e-13
23	3	4.8662004792508565e-19
23	4	2.0512571692592575e-25
23	5	7.4527510748365607e-32
23	6	1.1102230246251565e-16
24	0	0.99999980000001998
24	1	1.9999994808000664e-07
24	2	3.191998981113763e-14
24	3	4.782979521540349e-21
24	4	7.0215048471049405e-28
24	5	1.025099317051922e-34
25	0	0.99999976040002869
25	1	2.3959992831169055e-07
25	2	4.2984224577257443e-14
25	3	6.9906689044368517e-21
25	4	1.0903327429541568e-27
25	5	1.6677940308973636e-34
26	0	0.9999980180019642
26	1	1.981995635640806e-06
26	2	2.4001965669089032e-12
26	3	1.9255843671593621e-18
26	4	1.2121990333831754e-24
26	5	6.409140932703322e-31
26	6	2.22784503323074e-37
27	0	0.99999865160090906
27	1	1.3483980987573385e-06
27	2	9.921512599491322e-13
27	3	5.2828034010929409e-19
27	4	2.2789011654125827e-25
27	5	8.4585854833724504e-32
28	0	0.9999986120009634
28	1	1.3879979879566565e-06
28	2	1.0487712150957431e-12
28	3	5.7224832962045345e-19
28	4	2.5249487964663887e-25
28	5	9.5699783070912854e-32
29	0	0.9999980180019642
29	1	1.981995635640806e-06
29	2	2.4001965669089024e-12
29	3	1.925584367159361e-18
29	4	1.2121990333831752e-24
29	5	6.4091409327033176e-31
29	6	2.2278450332307383e-37
30	0	0.99999940400017762
30	1	5.9599960926252807e-07
30	2	2.1312944756976477e-13
30	3	5.9631247771024665e-20
30	4	1.442638579028798e-26
30	5	3.1725958573566153e-33
31	0	0.9999993644002021
31	1	6.3559955813103386e-07
31	2	2.3987525894208659e-13
31	3	7.0259946449609729e-20
31	4	1.7680989455741812e-26
31	5	4.023885948465839e-33
32	0	0.99999817640166277
32	1	1.8235965621525187e-06
32	2	1.7750887842537943e-12
32	3	1.2259644766398082e-18
32	4	6.7395113711561232e-25
32	5	4.20494098654722e-31
32	6	1.4343586766140171e-37
34	0	0.99999932480022802
34	1	6.751995038632223e-07
34	2	2.6818922695039363e-13
34	3	8.2072290443567214e-20
34	4	2.1453051130245582e-26
34	5	5.047301184114793e-33
35	0	0.99999845360119566
35	1	1.5463975133907972e-06
35	2	1.2909325646571904e-12
35	3	7.7243923602137188e-19
35	4	3.7128324512278859e-25
35	5	1.5238897462260881e-31
36	0	0.99999928520025549
36	1	7.1479944645909336e-07
36	2	2.9807135140838943e-13
36	3	9.5130378692789118e-20
